2240,71700,500,44700,
2250,70900,500,49700,
2260,72500,500,37300,
2270,69200,500,39900,
2280,73100,600,39200,
2290,73500,500,36800,
2300,72800,500,91200,
2310,74200,500,40400,
2320,73600,500,38700,
2330,73500,500,46300,
2340,74300,500,39500,
2350,74200,500,45600,
2360,75200,500,40200,
2370,72900,500,38700,
2380,71600,600,38000,
2390,74400,500,47400,
2400,77000,500,40700,
2410,75700,600,73600,
2420,73100,500,38900,
2430,75100,500,41700,
2440,76900,600,39300,
2450,77300,500,48600,
2460,76900,500,47600,
2470,76600,500,42100,
2480,78500,500,40800,
2490,79500,500,41200,
2500,79100,500,41200,
2510,78600,600,42200,
2520,77800,600,40400,
2530,80800,500,42500,
2540,79500,500,42000,
2550,79400,600,41100,
2560,80600,500,42900,
2570,77900,500,42400,
2580,81000,600,44700,
2590,82200,500,42500,
2600,77500,500,41800,
2610,82500,500,42900,
2620,82300,500,44300,
2630,82900,500,43100,
2640,80900,600,43300,
2650,80000,600,43200,
2660,83300,600,45000,
2670,83100,500,43600,
2680,86400,600,43300,
2690,84500,500,43500,
2700,80600,600,46000,
2710,85000,600,46200,
2720,80700,600,46200,
2730,87000,600,47100,
2740,86400,500,46200,
2750,90000,600,45400,
2760,83300,500,46700,
2770,86900,500,46800,
2780,87800,600,45300,
2790,88800,600,45800,
2800,88200,500,45000,
2810,89400,500,44000,
2820,87000,600,47900,
2830,90000,600,44600,
2840,108200,800,62900,
2850,107500,800,62700,
2860,109700,800,62900,
2870,105300,800,59400,
2880,105300,600,54900,
2890,106300,700,59300,
2900,111400,700,64700,
2910,117800,900,58800,
2920,91000,600,46700,
2930,94900,600,47300,
2940,87900,600,96700,
2950,103700,700,50000,
2960,104100,600,52200,
2970,96200,600,50100,
2980,94500,600,48900,
2990,92000,600,49000,
3000,95100,600,47800,
3010,96800,600,50600,
3020,94300,600,51900,
3030,92700,600,52200,
3040,96000,700,48000,
3050,98300,600,54900,
3060,96300,600,51800,
3070,93800,600,52300,
3080,210800,700,54800,
3090,94900,700,51200,
3100,98200,700,54000,
3110,97700,700,50900,
3120,94400,600,54300,
3130,99200,600,50700,
3140,105100,600,51700,
3150,100900,600,94100,
3160,98700,600,55800,
3170,99100,600,52400,
3180,100400,600,53300,
3190,101800,600,51300,
3200,103400,600,54200,
3210,103500,600,55900,
3220,103700,600,51600,
3230,100300,700,51900,
3240,105000,700,55800,
3250,100200,700,55600,
3260,104000,600,55900,
3270,105300,600,52900,
3280,104200,700,52900,
3290,106100,600,57300,
3300,104900,700,55900,
3310,106100,700,58400,
3320,105300,600,57700,
3330,104200,600,56000,
3340,283600,700,58800,
3350,106700,700,55400,
3360,107900,700,87500,
3370,107400,700,56800,
3380,107100,700,59600,
3390,102400,700,56900,
3400,105600,600,55100,
3410,107000,600,55200,
3420,107300,700,55800,
3430,110600,700,59500,
3440,109300,700,56900,
3450,107400,700,55700,
3460,111200,700,59700,
3470,110100,700,55000,
3480,203600,800,56200,
3490,140000,800,59500,
3500,104000,700,58200,
3510,210600,800,61400,
3520,114200,700,57600,
3530,111800,700,58700,
3540,114400,700,58300,
3550,109800,700,60100,
3560,112100,700,59900,
3570,112700,700,59400,
3580,115200,700,62600,
3590,116200,700,59200,
3600,113200,700,59800,
3610,114600,800,64400,
3620,115300,700,62400,
3630,113500,700,60700,
3640,116400,700,61800,
3650,122100,700,63800,
3660,116600,700,61400,
3670,113600,800,61000,
3680,114600,700,60400,
3690,121100,800,62200,
3700,117700,700,59600,
3710,113200,700,60700,
3720,118600,700,65100,
3730,116300,700,64400,
3740,125200,700,64500,
3750,117400,700,61300,
3760,119200,800,62600,
3770,117400,700,60500,
3780,119900,700,60900,
3790,121100,700,65200,
3800,119900,800,63400,
3810,119900,700,64900,
3820,115100,700,64600,
3830,123000,800,69400,
3840,121600,800,65200,
3850,227700,900,73800,
3860,129000,900,85600,
3870,131300,1000,66700,
3880,121900,800,68100,
3890,129700,800,64000,
3900,179300,900,69300,
3910,122200,800,64800,
3920,117200,700,66400,
3930,124500,700,65900,
3940,127800,800,65600,
3950,126800,700,64600,
3960,122900,800,65300,
3970,128000,700,69200,
3980,126100,800,67100,
